purchase_id,student_id,date_purchased
15055,255201,2021-12-01
15057,255203,2021-12-01
15059,255204,2021-12-01
15060,255196,2021-12-01
15063,255207,2021-12-01
15068,255218,2021-12-01
15069,255220,2021-12-01
15070,255224,2021-12-01
15071,255226,2021-12-01
15072,255232,2021-12-01
15073,255231,2021-12-01
15098,255243,2021-12-01
15103,255255,2021-12-01
15105,255259,2021-12-01
15107,255257,2021-12-01
15108,255265,2021-12-01
15110,255267,2021-12-01
15113,255269,2021-12-01
15116,255272,2021-12-01
15118,255279,2021-12-01
15121,255275,2021-12-01
15132,255298,2021-12-01
15134,255312,2021-12-01
15138,255318,2021-12-01
15139,255315,2021-12-01
15143,255324,2021-12-01
15146,255332,2021-12-01
15147,255333,2021-12-01
15148,255335,2021-12-01
15149,255339,2021-12-01
15150,255341,2021-12-01
15151,255342,2021-12-01
15153,255338,2021-12-01
15154,255344,2021-12-01
15155,255343,2021-12-01
15156,255346,2021-12-01
15161,255271,2021-12-01
15164,255353,2021-12-01
15168,255354,2021-12-01
15169,255357,2021-12-01
15174,255359,2021-12-02
15180,255282,2021-12-01
15182,255348,2021-12-01
15186,255349,2021-12-01
15187,255366,2021-12-02
15191,255371,2021-12-02
15196,255372,2021-12-02
15198,255373,2021-12-02
15201,255378,2021-12-02
15203,255277,2021-12-01
15204,255374,2021-12-02
15205,255306,2021-12-02
15216,255391,2021-12-02
15220,255397,2021-12-02
15221,255393,2021-12-02
15223,255402,2021-12-02
15225,255405,2021-12-02
15226,255406,2021-12-02
15228,255206,2021-12-02
15250,255445,2021-12-02
15253,255474,2021-12-02
15256,255486,2021-12-02
15269,255563,2021-12-03
15289,255409,2021-12-02
15294,255641,2021-12-03
15300,255280,2021-12-04
15309,255488,2021-12-04
15311,255772,2021-12-04
15321,255449,2021-12-05
15323,255864,2021-12-05
15324,255367,2021-12-06
15325,255924,2021-12-06
15326,255396,2021-12-06
15332,255534,2021-12-06
15334,255744,2021-12-06
15335,256055,2021-12-07
15349,255529,2021-12-07
15352,255859,2021-12-08
15353,256193,2021-12-08
15364,256323,2021-12-09
15367,256270,2021-12-09
15376,255595,2021-12-09
15382,256393,2021-12-09
15386,255589,2021-12-10
15387,256265,2021-12-08
15401,255765,2021-12-10
15402,256527,2021-12-10
15403,256543,2021-12-10
15404,256432,2021-12-10
15413,256313,2021-12-11
15416,256626,2021-12-12
15417,256422,2021-12-12
15418,256670,2021-12-12
15425,256678,2021-12-12
15427,256727,2021-12-12
15432,255599,2021-12-13
15434,256516,2021-12-13
15436,256790,2021-12-13
15442,256443,2021-12-14
15444,256904,2021-12-14
15452,256921,2021-12-14
15456,256539,2021-12-14
15468,257112,2021-12-15
15469,257053,2021-12-15
15470,257130,2021-12-15
15473,256329,2021-12-16
15483,256990,2021-12-16
15487,257234,2021-12-16
15488,257236,2021-12-16
15489,255993,2021-12-16
15490,257240,2021-12-17
15493,257254,2021-12-17
15506,256970,2021-12-17
15507,256127,2021-12-17
15508,256868,2021-12-17
15509,257122,2021-12-17
15510,257244,2021-12-17
15521,257384,2021-12-18
15522,257405,2021-12-18
15524,257423,2021-12-18
15533,256679,2021-12-19
15534,257155,2021-12-19
15535,257521,2021-12-19
15536,257503,2021-12-20
15538,256826,2021-12-20
15548,257330,2021-12-20
15549,257609,2021-12-20
15553,256570,2021-12-21
15562,257651,2021-12-21
15569,257502,2021-12-21
15570,257658,2021-12-21
15573,257682,2021-12-21
15575,257694,2021-12-21
15576,257695,2021-12-21
15578,257704,2021-12-21
15579,257532,2021-12-21
15582,257724,2021-12-22
15583,257605,2021-12-22
15584,256788,2021-12-22
15585,257747,2021-12-22
15602,256484,2021-12-22
15606,257693,2021-12-22
15609,257567,2021-12-22
15610,257809,2021-12-22
15633,257938,2021-12-23
15634,257827,2021-12-24
15645,255262,2021-12-24
15660,257821,2021-12-25
15662,258051,2021-12-25
15663,258020,2021-12-25
15664,258119,2021-12-25
15667,258121,2021-12-26
15668,257801,2021-12-26
15670,258141,2021-12-26
15671,258146,2021-12-26
15673,257594,2021-12-26
15680,257898,2021-12-26
15682,257610,2021-12-26
15684,258221,2021-12-27
15685,258223,2021-12-27
15686,258163,2021-12-26
15687,258158,2021-12-27
15693,256386,2021-12-27
15694,257415,2021-12-27
15698,258321,2021-12-27
15699,257828,2021-12-28
15700,258338,2021-12-28
